Дистанция_км,Высота_м,Уклон_проценты
0.0,91.0,-0.49
0.137,90.33,-0.49
0.274,89.67,-1.95
0.411,87.0,-2.19
0.548,84.0,0.24
0.685,84.33,0.97
0.822,85.67,1.22
0.959,87.33,-2.19
1.096,84.33,-3.16
1.233,80.0,-3.89
1.37,74.67,-3.16
1.507,70.33,-3.65
1.644,65.33,-3.16
1.781,61.0,-2.19
1.918,58.0,-0.97
2.055,56.67,-0.24
2.192,56.33,0.49
2.329,57.0,1.22
2.466,58.67,1.22
2.603,60.33,1.46
2.74,62.33,1.46
2.877,64.33,2.68
3.014,68.0,2.43
3.151,71.33,3.41
3.288,76.0,2.92
3.425,80.0,2.92
3.561,84.0,1.22
3.698,85.67,0.49
3.835,86.33,-0.97
3.972,85.0,-1.95
4.109,82.33,-3.41
4.246,77.67,-3.65
4.383,72.67,-2.92
4.52,68.67,-1.7
4.657,66.33,-1.7
4.794,64.0,-1.7
4.931,61.67,-1.46
5.068,59.67,-0.24
5.205,59.33,0.0
5.342,59.33,0.49
5.479,60.0,0.49
5.616,60.67,-0.24
5.753,60.33,-0.49
5.89,59.67,-0.73
6.027,58.67,0.49
6.164,59.33,0.24
6.301,59.67,0.73
6.438,60.67,0.49
6.575,61.33,1.22
6.712,63.0,5.11
6.849,70.0,9.25
6.986,82.67,11.19
7.123,98.0,6.33
7.26,106.67,2.68
7.397,110.33,0.24
7.534,110.67,0.97
7.671,112.0,0.49
7.808,112.67,-2.19
7.945,109.67,-4.14
8.082,104.0,-5.11
8.219,97.0,-2.19
8.355,94.0,-0.24
8.492,93.67,1.22
8.629,95.33,0.97
8.766,96.67,1.22
8.903,98.33,0.97
9.04,99.67,0.24
9.177,100.0,-0.0
9.314,100.0,0.0
9.451,100.0,0.0
9.588,100.0,-0.73
9.725,99.0,-0.49
9.862,98.33,0.24
9.999,98.67,0.97
10.136,100.0,0.24
10.273,100.33,0.49
10.41,101.0,0.49
10.547,101.67,0.73
10.684,102.67,0.97
10.821,104.0,0.49
10.958,104.67,0.73
11.095,105.67,0.24
11.232,106.0,0.73
11.369,107.0,0.97
11.506,108.33,0.97
11.643,109.67,0.97
11.78,111.0,0.73
11.917,112.0,0.97
12.053,113.33,1.22
12.19,115.0,2.19
12.327,118.0,1.7
12.464,120.33,1.46
12.601,122.33,1.46
12.738,124.33,1.46
12.875,126.33,1.46
13.012,128.33,0.97
13.149,129.67,1.22
13.286,131.33,2.43
13.423,134.67,1.46
13.56,136.67,1.46
13.697,138.67,0.49
13.834,139.33,1.46
13.971,141.33,1.7
14.108,143.67,1.95
14.245,146.33,1.22
14.382,148.0,0.49
14.519,148.67,0.24
14.656,149.0,0.73
14.793,150.0,1.46
14.93,152.0,1.22
15.066,153.67,1.22
15.203,155.33,1.95
15.34,158.0,2.43
15.477,161.33,3.16
15.614,165.67,3.41
15.751,170.33,3.89
15.888,175.67,4.87
16.025,182.33,5.11
16.162,189.33,3.89
16.299,194.67,1.46
16.436,196.67,2.19
16.573,199.67,3.41
16.71,204.33,5.84
16.847,212.33,4.62
